StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent Form Q1a,Gender,Age,Alcohol,"Memorable word ",Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Question 3a_1,Question 3c_1,Question 3g_1,Question 3h_1,Question 3e_1,Question 3f_1,Question 3b_1,Question 3d_1,FL_18_DO,FL_13_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"I have read and understood the Participant Information Sheet, and I consent to take part in the above study. 
I confirm that I have read and understood how my data will be stored and used.",Please select your gender,What is your age?,Do you consume alcoholic beverages?,Please write any memorable word (this will be used to create a non-identifiable participant ID),Click to write the question text,What is your favourite animal?,What is your favourite season?,If you could have a superpower what would it be?,Which is your dominant hand?,"You’re on a desert island, but you’re only allowed to bring one of the following items. Which do you pick?",How would you describe your walk?,What do you value most in a friend?,"If you were to drink this weekend, how many pints of beer (~568 ml, ABV 5.2%) do you intend to drink? - Number of Drinks","If you were to drink this weekend, how many glasses of red wine (175ml, ABV 12%) do you intend to drink? - Number of drinks","If you intend to drink this weekend, how many pints of cider (~568 ml, ABV 5.2%) do you intend to drink? - Number of Drinks","If you intend to drink this weekend, how many glasses of white wine (175ml, ABV 12%) do you intend to drink? - Number of Drinks","If you were to drink this weekend, how many shots of rum (25ml, ABV 40%) do you intend to drink? - Number of Drinks","If you intend to drink this weekend, how many shots of gin (25ml, ABV 40%) do you intend to drink? - Number of Drinks","If you were to drink this weekend, how many shots of tequila or single mixed tequila drinks do you intend to drink? - Number of Drinks","If you were to drink this weekend, how many shots of vodka (25ml, ABV 40%) do you intend to drink? - Number of Drinks",FL_18 - Block Randomizer - Display Order,FL_13 - Block Randomizer - Display Order
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID18""}","{""ImportId"":""QID2""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID17""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID34_1""}","{""ImportId"":""QID40_1""}","{""ImportId"":""QID41_1""}","{""ImportId"":""QID38_1""}","{""ImportId"":""QID39_1""}","{""ImportId"":""QID32_1""}","{""ImportId"":""QID33_1""}","{""ImportId"":""FL_18_DO""}","{""ImportId"":""FL_13_DO""}"
2024-02-05 16:08:39,2024-02-05 16:09:20,Survey Preview,,100,40,True,2024-02-05 16:09:21,R_87HHd5NtOzNcXHd,,,,,55.9552,-3.2,preview,EN,,Female,20,yes,hi,A Castle in Scotland,,,,,,,,3,,,,,,,,"Results(F,control)|Results(F,Threat)",
2024-02-05 16:12:13,2024-02-05 16:12:29,Survey Preview,,100,15,True,2024-02-05 16:12:29,R_8ENPzmWvEFSUXaF,,,,,55.9552,-3.2,preview,EN,,Male,,yes,,A Castle in Scotland,,,,,,,,,,,,,,,,,"Results(M,Threat)"
2024-02-05 16:12:43,2024-02-05 16:12:54,Survey Preview,,100,10,True,2024-02-05 16:12:55,R_82ticQtfP3phJ4n,,,,,55.9552,-3.2,preview,EN,,Non-binary / third gender,,yes,,,,,,,,,,,,,,,,,,,
2024-02-12 13:19:47,2024-02-12 13:20:12,Survey Preview,,100,24,True,2024-02-12 13:20:13,R_6TsFWHuNVBcgdMA,,,,,55.9477,-3.1624,preview,EN,,Non-binary / third gender,,,kakak,,,,,,,,,,,,,,,,,,
2024-02-12 13:19:53,2024-02-12 13:20:55,Survey Preview,,100,62,True,2024-02-12 13:20:55,R_2JD6MgjMAYivLpg,,,,,55.9477,-3.1624,preview,EN,,Male,21,yes,"Benson ",A Lakehouse in France,,,,,,,,,,,,,,,,,BL_8lh5nF55J2kC0bs
2024-02-13 10:46:27,2024-02-13 10:47:25,Survey Preview,,100,57,True,2024-02-13 10:47:26,R_6t3gqkmxw7NqxSH,,,,,55.9477,-3.1624,preview,EN,,Female,,yes,lalala,,,,,,,,,,,,,,,,,"Results(F,control)",
2024-02-14 15:05:51,2024-02-14 15:07:04,Survey Preview,,100,73,True,2024-02-14 15:07:06,R_6Hw5UFm2ZvINvmp,,,,,55.9477,-3.1624,preview,EN,,Female,,yes,lalala,,,,,,,,,,,,,,,,,"Results(F,Threat)",
2024-02-14 15:20:23,2024-02-14 15:56:37,Survey Preview,,100,2174,True,2024-02-14 15:56:38,R_25D6WwmYf6480Hn,,,,,55.9477,-3.1624,preview,EN,Yes,Male,21,yes,"Benson ",A Rainforest Getaway in Costa Rica,Lizard,Spring,Invisibility,Left,A bottle of water purifying tablets,"Less fast, head up, looking at the world",Fun and adventurous spirit,3,9,,,,,2,9,,"Results(M,Control)"
